Canal,Recurso,Tipo,Peso(bytes)
Touchable Earth (en),Money,video,14645727
Touchable Earth (en),Anthem,video,16072985
Touchable Earth (en),Ngcebo,video,5942150
Touchable Earth (en),Siphokazi’s Room,video,2352987
Touchable Earth (en),School,video,5495699
Touchable Earth (en),Clapping,video,18383753
Touchable Earth (en),Dolls,video,10522556
Touchable Earth (en),Apple’s Mother,video,3247652
Touchable Earth (en),Seher,video,7295051
Touchable Earth (en),Map 2,video,4269105
Touchable Earth (en),Polina,video,3571839
Touchable Earth (en),Welcome,video,6053539
Touchable Earth (en),Arseny’s father,video,14006162
Touchable Earth (en),Table Tennis,video,7693631
Touchable Earth (en),Wafaa,video,7641560
Touchable Earth (en),Subham,video,3556364
Touchable Earth (en),Girls’ clothes,video,9905855
Touchable Earth (en),Sushant,video,6731880
Touchable Earth (en),Anton,video,7844358
Touchable Earth (en),Tiger,video,8329496
Touchable Earth (en),Music String,video,59159072
Touchable Earth (en),Girls’ Clothing,video,3997017
Touchable Earth (en),Graduation,video,10091752
Touchable Earth (en),Welcome,video,3831480
Touchable Earth (en),Classroom 1,video,19835409
Touchable Earth (en),Dance,video,15981866
Touchable Earth (en),Girls’ Clothing,video,25577655
Touchable Earth (en),Cans,video,19866075
"Découverte Digitale (Français, langue française)","PLANS DE COURS - DÉCOUVERTE DIGITALE 7: Explorer Wikipedia
",document,726346
"Découverte Digitale (Français, langue française)","PLANS DE COURS - DÉCOUVERTE DIGITALE 8: Vérifier la véracité des faits
",document,1629402
"Découverte Digitale (Français, langue française)","DÉCOUVERTE DIGITALE 9: Vérification de la véracité des faits sur les médias sociaux et les applications de messagerie
",h5p,49514164
"Découverte Digitale (Français, langue française)","PLANS DE COURS - DÉCOUVERTE DIGITALE 6: Comprendre les adresses web
",document,738631
"Découverte Digitale (Français, langue française)","PLANS DE COURS - DÉCOUVERTE DIGITALE 9: Vérification de la véracité des faits sur les médias sociaux et les applications de messagerie
",document,2233742
"Découverte Digitale (Français, langue française)","DÉCOUVERTE DIGITALE 5: Filtrage des résultats de recherche
",h5p,36964760
"Découverte Digitale (Français, langue française)","DÉCOUVERTE DIGITALE 10: Coaching Découverte Digitale
",h5p,67404648
"Découverte Digitale (Français, langue française)","DÉCOUVERTE DIGITALE 4: Chercher par mots-clés
",h5p,44643614
"Découverte Digitale (Français, langue française)","PLANS DE COURS - DÉCOUVERTE DIGITALE 4: Chercher par mots-clés
",document,832673
"Découverte Digitale (Français, langue française)","PLANS DE COURS - DECOUVERTE DIGITALE 3: Utilisation des filtres de recherche
",document,897212
"Découverte Digitale (Français, langue française)","DÉCOUVERTE DIGITALE 8: Vérifier la véracité des faits
",h5p,51192219
"Découverte Digitale (Français, langue française)","DÉCOUVERTE DIGITALE 7: Explorer Wikipedia
",h5p,42921056
"Découverte Digitale (Français, langue française)","PLANS DE COURS - DECOUVERTE DIGITALE 2: Page de résultats d’un moteur de recherche
",document,631913
"Découverte Digitale (Français, langue française)","PLANS DE COURS - DECOUVERTE DIGITALE 1: Introduction aux moteurs de recherche
",document,630530
"Découverte Digitale (Français, langue française)","DECOUVERTE DIGITALE 2: Page de résultats d’un moteur de recherche
",h5p,47646827
"Découverte Digitale (Français, langue française)","DECOUVERTE DIGITALE 3: Utilisation des filtres de recherche
",h5p,46372259
"Découverte Digitale (Français, langue française)","DÉCOUVERTE DIGITALE 6: Comprendre les adresses web
",h5p,85771353
"Découverte Digitale (Français, langue française)","DECOUVERTE DIGITALE 1: Introduction aux moteurs de recherche
",h5p,37473900
"Découverte Digitale (Français, langue française)","PLANS DE COURS - DÉCOUVERTE DIGITALE 5: Filtrage des résultats de recherche
",document,800235
Free English with Hello Channel,Contractions ,video,60819606
